depth,cellid,brainno
332,2016_11_15_0013,1115
327,2016_11_15_0028,1115
414,2016_11_15_0042,1115
242,2016_11_21_0014,1121
385,2016_11_21_0028,1121
331,2016_11_21_0042,1121
261,2016_12_04_0016,1204
304,2016_12_04_0031,1204
241,2016_12_04_0045,1204
244,2016_12_04_0059,1204
233,2016_12_08_0013,1208
274,2016_12_08_0027,1208
398,2016_12_12_0011,1212
347,2016_12_12_0025,1212
287,2016_12_12_0040,1212
221,2016_12_12_0054,1212
402,2016_12_13_0011,1213
296,2016_12_13_0025,1213
440,2016_12_13_0039,1213
333,2016_11_14_0016,1114
364,2016_11_14_0030,1114
314,2016_11_22_0013,1122
480,2016_11_22_0027,1122
333,2016_11_22_0042,1122
262,2016_11_28_0013,1128
371,2016_11_28_0037,1128
288,2016_11_30_0012,1130
297,2016_12_07_0014,1207
297,2016_12_07_0028,1207
265,2016_12_07_0042,1207
394,2016_12_07_0055,1207
418,2017_09_04_0014,904
377,2017_09_07_0058,907A
447,2017_09_07_0072,907A
368,2017_09_08_0012,908
428,2017_09_08_0023,908
316,2017_09_08_0035,908
415,2017_09_11_0001,911
463,2017_09_20_0001,920
460,2017_09_20_0012,920
419,2017_09_20_0023,920
336,2017_09_05_0004,905
383,2017_09_07_0001,907B
316,2017_09_05_0016,905
312,2017_09_07_0012,907B
333,2017_09_07_0024,907B
290,2017_09_07_0035,907B
328,2017_09_07_0044,907B
316,2017_09_15_0004,915
429,2017_09_19_0001,919
319,2017_09_19_0013,919
386,2017_09_19_0025,919
373,2017_09_19_0038,919
